node_id,node_type,node_category,hasGroupId,hasGender,hasAge,hasSeverity,hasSiteOfInfection,hasDiseaseStatus,hasTissue,hasGroupDay,hasNeutrophilProportion,hasTypeRegulation,hasPValue,hasLog2_FC,hasName,hasDescription,hasID,hasURI,normalized_label,short_label
Reaction_R-HSA-9750226,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9750226,R-HSA-9750226
Reaction_R-HSA-9750946,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9750946,R-HSA-9750946
Reaction_R-HSA-975119,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-975119,R-HSA-975119
Reaction_R-HSA-9754839,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9754839,R-HSA-9754839
Reaction_R-HSA-9755734,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9755734,R-HSA-9755734
Reaction_R-HSA-9758604,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9758604,R-HSA-9758604
Reaction_R-HSA-9761344,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9761344,R-HSA-9761344
Reaction_R-HSA-9773803,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9773803,R-HSA-9773803
Reaction_R-HSA-9818789,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9818789,R-HSA-9818789
Reaction_R-HSA-9860292,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9860292,R-HSA-9860292
Reaction_R-HSA-9861469,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9861469,R-HSA-9861469
Reaction_R-HSA-9861486,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9861486,R-HSA-9861486
Reaction_R-HSA-9909510,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9909510,R-HSA-9909510
Reaction_R-HSA-4755478,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-4755478,R-HSA-4755478
Reaction_R-HSA-83582,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-83582,R-HSA-83582
Reaction_R-HSA-9013978,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9013978,R-HSA-9013978
Reaction_R-HSA-9013979,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9013979,R-HSA-9013979
Reaction_R-HSA-918225,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-918225,R-HSA-918225
Reaction_R-HSA-918229,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-918229,R-HSA-918229
Reaction_R-HSA-918232,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-918232,R-HSA-918232
Reaction_R-HSA-933525,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-933525,R-HSA-933525
Reaction_R-HSA-933527,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-933527,R-HSA-933527
Reaction_R-HSA-933538,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-933538,R-HSA-933538
Reaction_R-HSA-937337,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-937337,R-HSA-937337
Reaction_R-HSA-9705137,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9705137,R-HSA-9705137
Reaction_R-HSA-9705145,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9705145,R-HSA-9705145
Reaction_R-HSA-9705320,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9705320,R-HSA-9705320
Reaction_R-HSA-9705323,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9705323,R-HSA-9705323
Reaction_R-HSA-9710988,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9710988,R-HSA-9710988
Reaction_R-HSA-9817397,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9817397,R-HSA-9817397
Reaction_R-HSA-9817411,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9817411,R-HSA-9817411
Reaction_R-HSA-9828204,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9828204,R-HSA-9828204
Reaction_R-HSA-9830706,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9830706,R-HSA-9830706
Reaction_R-HSA-9830710,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9830710,R-HSA-9830710
Reaction_R-HSA-9865492,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9865492,R-HSA-9865492
Reaction_R-HSA-9865511,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9865511,R-HSA-9865511
Reaction_R-HSA-447246,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-447246,R-HSA-447246
Reaction_R-HSA-1295516,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1295516,R-HSA-1295516
Reaction_R-HSA-1295519,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1295519,R-HSA-1295519
Reaction_R-HSA-1295540,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-1295540,R-HSA-1295540
Reaction_R-HSA-449115,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-449115,R-HSA-449115
Reaction_R-HSA-449958,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-449958,R-HSA-449958
Reaction_R-HSA-450063,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-450063,R-HSA-450063
Reaction_R-HSA-451895,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-451895,R-HSA-451895
Reaction_R-HSA-451942,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-451942,R-HSA-451942
Reaction_R-HSA-452091,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-452091,R-HSA-452091
Reaction_R-HSA-452097,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-452097,R-HSA-452097
Reaction_R-HSA-452100,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-452100,R-HSA-452100
Reaction_R-HSA-452108,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-452108,R-HSA-452108
Reaction_R-HSA-452122,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-452122,R-HSA-452122
Reaction_R-HSA-508282,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-508282,R-HSA-508282
Reaction_R-HSA-508292,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-508292,R-HSA-508292
Reaction_R-HSA-6785165,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6785165,R-HSA-6785165
Reaction_R-HSA-6786058,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6786058,R-HSA-6786058
Reaction_R-HSA-6786072,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6786072,R-HSA-6786072
Reaction_R-HSA-6786092,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6786092,R-HSA-6786092
Reaction_R-HSA-6786095,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6786095,R-HSA-6786095
Reaction_R-HSA-6786096,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6786096,R-HSA-6786096
Reaction_R-HSA-6786124,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-6786124,R-HSA-6786124
Reaction_R-HSA-8963734,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8963734,R-HSA-8963734
Reaction_R-HSA-8983003,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983003,R-HSA-8983003
Reaction_R-HSA-8983063,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983063,R-HSA-8983063
Reaction_R-HSA-8983298,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983298,R-HSA-8983298
Reaction_R-HSA-8983299,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983299,R-HSA-8983299
Reaction_R-HSA-8983300,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983300,R-HSA-8983300
Reaction_R-HSA-8983309,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983309,R-HSA-8983309
Reaction_R-HSA-8983335,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983335,R-HSA-8983335
Reaction_R-HSA-8983371,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983371,R-HSA-8983371
Reaction_R-HSA-8983374,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-8983374,R-HSA-8983374
