Source,Target,Relation,Type,Weight
Protein_CUL4A,Protein_SKP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_SKP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_CTNNB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_RBBP4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_CUL4A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_PSMC6,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_TUBA4A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_HNRNPH1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_HNRNPH3,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_PABPC1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_SRSF3,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_RPL10A,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_RPLP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_SNRNP70,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_CREB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_NR3C1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_NR3C1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SUMO1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SUMO1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_PML,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_PML,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_ETS1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_ETS1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SMAD4,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SMAD4,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SUMO2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SUMO2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_SNW1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DAXX,Protein_DAXX,hasPhysicalInteractionWith,Undirected,1.0
Protein_DCTN1,Protein_DCTN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX1,Protein_CSTF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX1,Protein_CSTF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX1,Protein_RPA2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX1,Protein_RBM4,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX1,Protein_YBX1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_SNRNP70,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_DDX17,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_SRSF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_EFTUD2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_SRSF3,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_RBM4,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_HNRNPH3,hasPhysicalInteractionWith,Undirected,1.0
Protein_DDX17,Protein_HNRNPH3,hasPhysicalInteractionWith,Undirected,1.0
Protein_DNM2,Protein_DDX39B,hasPhysicalInteractionWith,Undirected,1.0
Protein_DNM2,Protein_SH3KBP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DNM2,Protein_SH3KBP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DNM2,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DNM2,Protein_GRB2,hasPhysicalInteractionWith,Undirected,1.0
Protein_DSTN,Protein_TTC1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DSTN,Protein_MCM7,hasPhysicalInteractionWith,Undirected,1.0
Protein_DTNBP1,Protein_BLOC1S6,hasPhysicalInteractionWith,Undirected,1.0
Protein_DTNBP1,Protein_BLOC1S6,hasPhysicalInteractionWith,Undirected,1.0
Protein_DTNBP1,Protein_RAB11A,hasPhysicalInteractionWith,Undirected,1.0
Protein_DTNBP1,Protein_DCTN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DYRK1A,Protein_CLTC,hasPhysicalInteractionWith,Undirected,1.0
Protein_DYRK1A,Protein_SRSF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_DYRK1A,Protein_PRKAR1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_DYRK1A,Protein_RBL2,hasPhysicalInteractionWith,Undirected,1.0
Protein_EEF1D,Protein_EEF1D,hasPhysicalInteractionWith,Undirected,1.0
Protein_EEF1D,Protein_SIAH1,hasPhysicalInteractionWith,Undirected,1.0
Protein_EFTUD2,Protein_EFTUD2,hasPhysicalInteractionWith,Undirected,1.0
Protein_EFTUD2,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_EFTUD2,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_ATP6V1F,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_STAT1,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_STAT1,hasPhysicalInteractionWith,Undirected,1.0
