entity_id,label
1007,Protein_SLC30A5
1008,Protein_SLC35B1
1009,Protein_SLC35B2
1010,Protein_SLC35C2
1011,Protein_SLC35F5
1012,Protein_SLC38A10
1013,Protein_SLC39A6
1014,Protein_SLC3A2
1015,Protein_SLC40A1
1016,Protein_SLC41A3
1017,Protein_SLC43A3
1018,Protein_SLC5A6
1019,Protein_SLF2
1020,Protein_SLIRP
1021,Protein_SLPI
1022,Protein_SLTM
1023,Protein_SMAD4
1024,Protein_SMAP1
1025,Protein_SMARCA5
1026,Protein_SMARCC2
1027,Protein_SMC1A
1028,Protein_SMC2
1029,Protein_SMG7
1030,Protein_SMNDC1
1031,Protein_SNAP23
1032,Protein_SNIP1
1033,Protein_SNRNP70
1034,Protein_SNRPC
1035,Protein_SNW1
1036,Protein_SNX10
1037,Protein_SNX19
1038,Protein_SP110
1039,Protein_SP140
1040,Protein_SP3
1041,Protein_SP4
1042,Protein_SPAST
1043,Protein_SPATA13
1044,Protein_SPATC1L
1045,Protein_SPI1
1046,Protein_SPOPL
1047,Protein_SPOUT1
1048,Protein_SPSB1
1049,Protein_SREK1
1050,Protein_SRP68
1051,Protein_SRPK2
1052,Protein_SRRM2
1053,Protein_SRSF1
1054,Protein_SRSF11
1055,Protein_SRSF3
1056,Protein_SRXN1
1057,Protein_SSH1
1058,Protein_STAB1
1059,Protein_STAM2
1060,Protein_STAMBP
1061,Protein_STARD7
1062,Protein_STAT1
1063,Protein_STAT2
1064,Protein_STAT5A
1065,Protein_STIL
1066,Protein_STK11IP
1067,Protein_STK26
1068,Protein_STMN1
1069,Protein_STRAP
1070,Protein_STX10
1071,Protein_STX12
1072,Protein_STX7
1073,Protein_STXBP3
1074,Protein_SUCLG1
1075,Protein_SUCLG2
1076,Protein_SUCO
1077,Protein_SULT1A3
1078,Protein_SUMO1
1079,Protein_SUMO2
1080,Protein_SUPT16H
1081,Protein_SUPT5H
1082,Protein_SURF4
1083,Protein_SUSD1
1084,Protein_SVIL
1085,Protein_SWSAP1
1086,Protein_SYF2
1087,Protein_SYPL1
1088,Protein_TAB2
1089,Protein_TAF1D
1090,Protein_TAF2
1091,Protein_TAF4
1092,Protein_TAF8
1093,Protein_TANK
1094,Protein_TAOK2
1095,Protein_TATDN2
1096,Protein_TBC1D2B
1097,Protein_TBRG4
1098,Protein_TC2N
1099,Protein_TCEA1
1100,Protein_TCN2
1101,Protein_TCP1
1102,Protein_TCTN3
1103,Protein_TDP2
1104,Protein_TENT5A
1105,Protein_TERF1
1106,Protein_TFPT
1107,Protein_TGFB3
1108,Protein_THAP1
1109,Protein_THAP6
1110,Protein_THEMIS
1111,Protein_THOC2
1112,Protein_THOC6
1113,Protein_THOP1
1114,Protein_THUMPD1
1115,Protein_TIA1
1116,Protein_TIGAR
1117,Protein_TK1
1118,Protein_TLR1
1119,Protein_TM6SF1
1120,Protein_TMBIM1
1121,Protein_TMCC1
1122,Protein_TMED7
1123,Protein_TMEM101
1124,Protein_TMEM106B
1125,Protein_TMEM126A
1126,Protein_TMEM128
1127,Protein_TMEM147
1128,Protein_TMEM14B
1129,Protein_TMEM154
1130,Protein_TMEM160
1131,Protein_TMEM208
1132,Protein_TMEM214
1133,Protein_TMEM219
1134,Protein_TMEM223
1135,Protein_TMEM230
1136,Protein_TMEM259
1137,Protein_TMEM267
1138,Protein_TMEM43
1139,Protein_TMEM62
1140,Protein_TMEM64
1141,Protein_TMEM71
1142,Protein_TMEM88
1143,Protein_TMF1
1144,Protein_TMSB4X
1145,Protein_TMUB1
1146,Protein_TMUB2
1147,Protein_TNFAIP8
1148,Protein_TNFAIP8L1
1149,Protein_TNPO3
1150,Protein_TNRC6A
1151,Protein_TOP2A
1152,Protein_TOP3A
1153,Protein_TOPBP1
1154,Protein_TOPORS
1155,Protein_TPI1
1156,Protein_TPM3
1157,Protein_TRAF2
1158,Protein_TRAF3IP3
1159,Protein_TRAFD1
1160,Protein_TRAK1
